#-------------------------------------------------------------------------------------------------------------------------------------------------
#Results of automated BLAST query of performed on Monday June 22 23:15:35 2020.
#Searches performed using local_blast_client.pl, written by Paul Stothard, stothard@ualberta.ca.
#The following settings were specified:
#BLAST_PATH=blastall
#FILTER=T
#OUTPUTFILE=test_output/results_tblastx.txt
#HSP_LABEL=F
#ALIGN_TYPE=translated
#QUERY_GENETIC_CODE=1
#HITLIST_SIZE=5
#ERROR_RETRY=5
#WORD_SIZE=3
#INPUTTYPE=DNA
#DATABASE=test_output/formatted_databases/test_dna_database.fasta
#INPUTFILE=test_input/test_input_dna.fasta
#MAX_BYTES_RESPONSE=5000000
#DATABASE_GENETIC_CODE=1
#PROGRAM=tblastx
#EXPECT=10
#The following attributes are separated by tabs:
#-------------------------------------------------------------------------------------------------------------------------------------------------
query_id	match_id	match_description	%_identity	alignment_length	mismatches	gap_openings	q_start	q_end	s_start	s_end	evalue	bit_score
fem-2_fragment_1	gi|6164828	-	97.45	196	5	0	1	588	601	1188	5e-137	 471
fem-2_fragment_1	gi|6164828	-	96.43	196	7	0	589	2	1189	602	7e-131	 450
fem-2_fragment_1	gi|6164828	-	96.41	195	7	0	3	587	603	1187	8e-131	 450
fem-2_fragment_1	gi|6164828	-	96.94	196	6	0	588	1	1188	601	3e-129	 445
fem-2_fragment_1	gi|6164828	-	96.94	196	6	0	2	589	602	1189	2e-116	 402
fem-2_fragment_1	gi|6164828	-	100.00	111	0	0	587	255	1187	855	1e-108	 255
fem-2_fragment_1	gi|6164828	-	100.00	60	0	0	182	3	782	603	1e-108	 144
fem-2_fragment_1	gi|6164828	-	70.00	10	3	0	234	205	835	806	1e-108	19.4
fem-2_fragment_1	gi|6164828	-	37.50	16	10	0	286	333	891	938	0.47	19.4
fem-2_fragment_1	gi|6164828	-	30.77	13	9	0	253	291	693	731	2.7	15.7
fem-2_fragment_1	gi|6164828	-	40.00	15	9	0	395	439	801	845	2.7	15.7
fem-2_fragment_1	gi|6164828	-	50.00	16	8	0	466	419	1414	1367	5.9	15.7
fem-2_fragment_1	gi|6164828	-	30.77	13	9	0	93	131	853	891	6.0	15.7
fem-2_fragment_1	some_other_gene	-	91.84	196	16	0	1	588	601	1188	3e-129	 445
fem-2_fragment_1	some_other_gene	-	91.84	196	16	0	589	2	1189	602	2e-123	 425
fem-2_fragment_1	some_other_gene	-	90.77	195	18	0	3	587	603	1187	9e-121	 417
fem-2_fragment_1	some_other_gene	-	90.82	196	18	0	588	1	1188	601	1e-119	 413
fem-2_fragment_1	some_other_gene	-	91.33	196	17	0	2	589	602	1189	2e-107	 372
fem-2_fragment_1	some_other_gene	-	97.30	111	3	0	587	255	1187	855	5e-103	 246
fem-2_fragment_1	some_other_gene	-	93.33	60	4	0	182	3	782	603	5e-103	 133
fem-2_fragment_1	some_other_gene	-	70.00	10	3	0	234	205	835	806	5e-103	19.4
fem-2_fragment_1	some_other_gene	-	37.50	16	10	0	286	333	891	938	0.47	19.4
fem-2_fragment_1	some_other_gene	-	30.77	13	9	0	253	291	693	731	2.7	15.7
fem-2_fragment_1	some_other_gene	-	40.00	15	9	0	395	439	801	845	2.7	15.7
fem-2_fragment_1	some_other_gene	-	30.77	13	9	0	93	131	853	891	6.0	15.7
fem-2_fragment_1	some_other_gene	-	45.45	11	6	0	324	356	381	349	8.1	15.3
fem-2_fragment_2	gi|6164828	-	100.00	116	0	0	1	348	841	1188	9e-81	 283
fem-2_fragment_2	gi|6164828	-	100.00	116	0	0	348	1	1188	841	2e-78	 275
fem-2_fragment_2	gi|6164828	-	100.00	116	0	0	349	2	1189	842	7e-78	 273
fem-2_fragment_2	gi|6164828	-	100.00	115	0	0	3	347	843	1187	7e-78	 273
fem-2_fragment_2	gi|6164828	-	100.00	115	0	0	347	3	1187	843	8e-75	 263
fem-2_fragment_2	gi|6164828	-	100.00	116	0	0	2	349	842	1189	3e-67	 238
fem-2_fragment_2	gi|6164828	-	37.50	16	10	0	46	93	891	938	0.26	19.4
fem-2_fragment_2	gi|6164828	-	30.77	13	9	0	13	51	693	731	1.5	15.7
fem-2_fragment_2	gi|6164828	-	40.00	15	9	0	155	199	801	845	1.5	15.7
fem-2_fragment_2	gi|6164828	-	44.44	9	5	0	93	119	751	777	1.5	15.7
fem-2_fragment_2	gi|6164828	-	50.00	16	8	0	226	179	1414	1367	3.3	15.7
fem-2_fragment_2	gi|6164828	-	50.00	8	4	0	294	271	1282	1305	6.2	14.8
fem-2_fragment_2	some_other_gene	-	94.83	116	6	0	1	348	841	1188	4e-76	 267
fem-2_fragment_2	some_other_gene	-	95.69	116	5	0	349	2	1189	842	1e-73	 259
fem-2_fragment_2	some_other_gene	-	94.78	115	6	0	3	347	843	1187	5e-73	 257
fem-2_fragment_2	some_other_gene	-	93.97	116	7	0	348	1	1188	841	2e-72	 255
fem-2_fragment_2	some_other_gene	-	97.39	115	3	0	347	3	1187	843	3e-72	 254
fem-2_fragment_2	some_other_gene	-	93.97	116	7	0	2	349	842	1189	3e-61	 218
fem-2_fragment_2	some_other_gene	-	37.50	16	10	0	46	93	891	938	0.26	19.4
fem-2_fragment_2	some_other_gene	-	30.77	13	9	0	13	51	693	731	1.5	15.7
fem-2_fragment_2	some_other_gene	-	40.00	15	9	0	155	199	801	845	1.5	15.7
fem-2_fragment_2	some_other_gene	-	44.44	9	5	0	93	119	751	777	1.5	15.3
fem-2_fragment_2	some_other_gene	-	45.45	11	6	0	84	116	381	349	4.5	15.3
fem-2_fragment_3	gi|6164828	-	100.00	116	0	0	349	2	841	1188	9e-81	 283
fem-2_fragment_3	gi|6164828	-	100.00	116	0	0	2	349	1188	841	2e-78	 275
fem-2_fragment_3	gi|6164828	-	100.00	116	0	0	1	348	1189	842	7e-78	 273
fem-2_fragment_3	gi|6164828	-	100.00	115	0	0	347	3	843	1187	7e-78	 273
fem-2_fragment_3	gi|6164828	-	100.00	115	0	0	3	347	1187	843	8e-75	 263
fem-2_fragment_3	gi|6164828	-	100.00	116	0	0	348	1	842	1189	3e-67	 238
fem-2_fragment_3	gi|6164828	-	37.50	16	10	0	304	257	891	938	0.26	19.4
fem-2_fragment_3	gi|6164828	-	30.77	13	9	0	337	299	693	731	1.5	15.7
fem-2_fragment_3	gi|6164828	-	40.00	15	9	0	195	151	801	845	1.5	15.7
fem-2_fragment_3	gi|6164828	-	44.44	9	5	0	257	231	751	777	1.5	15.7
fem-2_fragment_3	gi|6164828	-	50.00	16	8	0	124	171	1414	1367	3.3	15.7
fem-2_fragment_3	gi|6164828	-	50.00	8	4	0	56	79	1282	1305	6.2	14.8
fem-2_fragment_3	some_other_gene	-	94.83	116	6	0	349	2	841	1188	4e-76	 267
fem-2_fragment_3	some_other_gene	-	95.69	116	5	0	1	348	1189	842	1e-73	 259
fem-2_fragment_3	some_other_gene	-	94.78	115	6	0	347	3	843	1187	5e-73	 257
fem-2_fragment_3	some_other_gene	-	93.97	116	7	0	2	349	1188	841	2e-72	 255
fem-2_fragment_3	some_other_gene	-	97.39	115	3	0	3	347	1187	843	3e-72	 254
fem-2_fragment_3	some_other_gene	-	93.97	116	7	0	348	1	842	1189	3e-61	 218
fem-2_fragment_3	some_other_gene	-	37.50	16	10	0	304	257	891	938	0.26	19.4
fem-2_fragment_3	some_other_gene	-	30.77	13	9	0	337	299	693	731	1.5	15.7
fem-2_fragment_3	some_other_gene	-	40.00	15	9	0	195	151	801	845	1.5	15.7
fem-2_fragment_3	some_other_gene	-	44.44	9	5	0	257	231	751	777	1.5	15.3
fem-2_fragment_3	some_other_gene	-	45.45	11	6	0	266	234	381	349	4.5	15.3
